****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
 ***** 635691684风   在 群976813092 说了 机器人炸了我也不想管了。
****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
****在954475045发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在952792192发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在976813092发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在1005680380发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在863714537发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在954475045发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在952792192发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在976813092发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在1005680380发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在863714537发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
 ***** 1413445748岛起雾♡   在 群976813092 说了 [CQ:reply,id=371920724][CQ:at,qq=2393097484] [CQ:at,qq=2393097484] [CQ:face,id=306][CQ:face,id=306]，我更想玩你了
****在954475045发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在952792192发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在976813092发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在1005680380发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在863714537发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在954475045发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在952792192发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在976813092发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在1005680380发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在863714537发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
 takepart 3524805398是呐呐哦   在 群976813092 说了 金色
 takepart 317803349李老father   在 群863714537 说了 粉色
 takepart 635691684塞西莉亚   在 群954475045 说了 [CQ:image,file=81bd77617fd14a7b525ed25160b9b088.image]被禁言了啊 那没事了
 takepart 317803349李老father   在 群863714537 说了 蓝色
 takepart 317803349李老father   在 群863714537 说了 金色
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:at,qq=2824803471] 傻狗，知不知道风铃的代表色是什么？
 takepart 3524805398是呐呐哦   在 群976813092 说了 黄色
 takepart 1184732187人类低质量Demo   在 群954475045 说了 艹
 takepart 317803349李老father   在 群863714537 说了 黄色
 takepart 1184732187人类低质量Demo   在 群954475045 说了 smjb
 takepart 317803349李老father   在 群863714537 说了 橙色
 takepart 1184732187人类低质量Demo   在 群954475045 说了 解了
 takepart 317803349李老father   在 群863714537 说了 白色
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 橙色
 takepart 3524805398是呐呐哦   在 群976813092 说了 白色
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
 takepart 317803349李老father   在 群863714537 说了 黑色
 takepart 2703401354我是什么   在 群954475045 说了 [CQ:image,file=2ebb404a105826003928d34ffe0843a6.image]
 takepart 2718417985🌿   在 群1005680380 说了 不知道
 takepart 317803349李老father   在 群863714537 说了 绿色
 takepart 2718417985🌿   在 群1005680380 说了 giao
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:at,qq=1480576455] 快说话
 takepart 3524805398是呐呐哦   在 群976813092 说了 粉色
 takepart 3524805398是呐呐哦   在 群976813092 说了 红色
****在954475045发送1分钟到了，本次答案为：橘色
****在952792192发送1分钟到了，本次答案为：橘色
****在976813092发送1分钟到了，本次答案为：橘色
****在1005680380发送1分钟到了，本次答案为：橘色
****在863714537发送1分钟到了，本次答案为：橘色
****在954475045发送	Q4、风铃机器人的登录是在什么端登录的（英文区分大小写）
****在952792192发送	Q4、风铃机器人的登录是在什么端登录的（英文区分大小写）
****在976813092发送	Q4、风铃机器人的登录是在什么端登录的（英文区分大小写）
****在1005680380发送	Q4、风铃机器人的登录是在什么端登录的（英文区分大小写）
****在863714537发送	Q4、风铃机器人的登录是在什么端登录的（英文区分大小写）
 takepart 317803349李老father   在 群863714537 说了 橘色
 takepart 635691684风   在 群976813092 说了 [CQ:image,file=edf107d62c015f58346a2cf25b6219a3.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 🌿
 takepart 317803349李老father   在 群863714537 说了 ……
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=59d5f046cfcbb7f159d56b45059e7962.image]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 不清楚
 takepart 317803349李老father   在 群863714537 说了 IOS
 takepart 317803349李老father   在 群863714537 说了 Android
 takepart 1184732187人类低质量Demo   在 群954475045 说了 Linux
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 PC
 takepart 2718417985🌿   在 群1005680380 说了  Pc
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 （雾）
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 跟风狗
 takepart 317803349李老father   在 群863714537 说了 ios
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:face,id=178]
 takepart 317803349李老father   在 群863714537 说了 Windows
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
 takepart 2718417985🌿   在 群1005680380 说了 哦这可真离谱
****在954475045发送1分钟到了，本次答案为：iPad
****在952792192发送1分钟到了，本次答案为：iPad
****在976813092发送1分钟到了，本次答案为：iPad
****在1005680380发送1分钟到了，本次答案为：iPad
****在863714537发送1分钟到了，本次答案为：iPad
****在954475045发送	Q5、风铃一般会称呼你什么~（2字）
****在952792192发送	Q5、风铃一般会称呼你什么~（2字）
****在976813092发送	Q5、风铃一般会称呼你什么~（2字）
****在1005680380发送	Q5、风铃一般会称呼你什么~（2字）
****在863714537发送	Q5、风铃一般会称呼你什么~（2字）
 takepart 317803349李老father   在 群863714537 说了 Smartphone
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=3720efab1a71bbfa49592c966be7d849.image]
 takepart 317803349李老father   在 群863714537 说了 …
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
****在976813092发送queshi
 takepart 3524805398是呐呐哦   在 群976813092 说了 博士
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 博士
 takepart 2937954408‮～喵‭   在 群954475045 说了 不知道
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:reply,id=248976340][CQ:at,qq=1480576455] [CQ:at,qq=1480576455] 博士
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 博士
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:image,file=b4a420ce462f17a4013affb94f627366.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=69fa8d1f2ccd7dd82c01f833e8ec4f5e.image]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=ced6bda8b8a99bb27f603c317dfeabf3.image]
 takepart 317803349李老father   在 群863714537 说了 博士
****在954475045发送1分钟到了，本次答案为：博士
第1名为是呐呐哦获得5分
第2名为李老father获得4分
第3名为人类低质量Demo获得3分
****在952792192发送1分钟到了，本次答案为：博士
第1名为是呐呐哦获得5分
第2名为李老father获得4分
第3名为人类低质量Demo获得3分
****在976813092发送1分钟到了，本次答案为：博士
第1名为是呐呐哦获得5分
第2名为李老father获得4分
第3名为人类低质量Demo获得3分
****在1005680380发送1分钟到了，本次答案为：博士
第1名为是呐呐哦获得5分
第2名为李老father获得4分
第3名为人类低质量Demo获得3分
****在863714537发送1分钟到了，本次答案为：博士
第1名为是呐呐哦获得5分
第2名为李老father获得4分
第3名为人类低质量Demo获得3分
****在954475045发送	Q6、异想体，是来自于什么游戏？（4字）
****在952792192发送	Q6、异想体，是来自于什么游戏？（4字）
****在976813092发送	Q6、异想体，是来自于什么游戏？（4字）
****在1005680380发送	Q6、异想体，是来自于什么游戏？（4字）
****在863714537发送	Q6、异想体，是来自于什么游戏？（4字）
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 脑叶公司
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？？？
 takepart 317803349李老father   在 群863714537 说了 明日方舟
****在976813092发送queshi
 takepart 3524805398是呐呐哦   在 群976813092 说了 脑叶公司
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 [CQ:image,file=f9d5404ed4f928d48152da956e5e5902.image]
 takepart 317803349李老father   在 群863714537 说了 明日之后
 takepart 317803349李老father   在 群863714537 说了 王者荣耀
 takepart 317803349李老father   在 群863714537 说了 和平精英
 takepart 317803349李老father   在 群863714537 说了 第五人格
 takepart 317803349李老father   在 群863714537 说了 我都世界
 ***** 765712614软件21蔡小勋   在 群372502869 说了 我想看静神和周大佬屠榜
 takepart 317803349李老father   在 群863714537 说了 我的世界
****在954475045发送1分钟到了，本次答案为：脑叶公司
第1名为人类低质量Demo获得5分
第2名为是呐呐哦获得4分
****在952792192发送1分钟到了，本次答案为：脑叶公司
第1名为人类低质量Demo获得5分
第2名为是呐呐哦获得4分
****在976813092发送1分钟到了，本次答案为：脑叶公司
第1名为人类低质量Demo获得5分
第2名为是呐呐哦获得4分
****在1005680380发送1分钟到了，本次答案为：脑叶公司
第1名为人类低质量Demo获得5分
第2名为是呐呐哦获得4分
****在863714537发送1分钟到了，本次答案为：脑叶公司
第1名为人类低质量Demo获得5分
第2名为是呐呐哦获得4分
****在954475045发送	Q7、自律对应的工作叫做什么？（2字）
****在952792192发送	Q7、自律对应的工作叫做什么？（2字）
****在976813092发送	Q7、自律对应的工作叫做什么？（2字）
****在1005680380发送	Q7、自律对应的工作叫做什么？（2字）
****在863714537发送	Q7、自律对应的工作叫做什么？（2字）
 takepart 317803349李老father   在 群863714537 说了 本能
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 工作压迫
 takepart 3524805398是呐呐哦   在 群976813092 说了 打工
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 工作洞察
 takepart 2718417985🌿   在 群1005680380 说了 工作本能
 takepart 317803349李老father   在 群863714537 说了 洞察
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 沟通
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 工作沟通
 takepart 317803349李老father   在 群863714537 说了 压榨
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:reply,id=399254165][CQ:at,qq=1662403060] [CQ:at,qq=1662403060] 爱你
 takepart 317803349李老father   在 群863714537 说了 观察
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=e3e105d9f6f74e7785375702bfc4d08e.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 压迫
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=3720efab1a71bbfa49592c966be7d849.image]
 takepart 2937954408‮～喵‭   在 群954475045 说了 好懂啊
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=d0868810ee090fb60cd7f9abd6921c23.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:image,file=02746a566670c52312f9d1fb31c0b15b.image]
 takepart 317803349李老father   在 群863714537 说了 压迫
 takepart 2429903694หญ้า（不熬夜版本day6）   在 群952792192 说了 压迫
 takepart 3524805398是呐呐哦   在 群976813092 说了 洞察
 takepart 1184732187人类低质量Demo   在 群954475045 说了 塞西设计的
****在954475045发送1分钟到了，本次答案为：沟通
第1名为人类低质量Demo获得5分
第2名为🌿获得4分
****在952792192发送1分钟到了，本次答案为：沟通
第1名为人类低质量Demo获得5分
第2名为🌿获得4分
****在976813092发送1分钟到了，本次答案为：沟通
第1名为人类低质量Demo获得5分
第2名为🌿获得4分
****在1005680380发送1分钟到了，本次答案为：沟通
第1名为人类低质量Demo获得5分
第2名为🌿获得4分
****在863714537发送1分钟到了，本次答案为：沟通
第1名为人类低质量Demo获得5分
第2名为🌿获得4分
****在954475045发送	Q8、风铃是哪个月第一次在群里出现？（月份2字）
****在952792192发送	Q8、风铃是哪个月第一次在群里出现？（月份2字）
****在976813092发送	Q8、风铃是哪个月第一次在群里出现？（月份2字）
****在1005680380发送	Q8、风铃是哪个月第一次在群里出现？（月份2字）
****在863714537发送	Q8、风铃是哪个月第一次在群里出现？（月份2字）
 takepart 635691684小小贝贝   在 群952792192 说了 为什么你们都回答压迫啊
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 7月
 takepart 3524805398是呐呐哦   在 群976813092 说了 5月
 takepart 1184732187人类低质量Demo   在 群954475045 说了 8月
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 还有个魔法少女呢
 takepart 2718417985🌿   在 群1005680380 说了 6月
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 六月
 takepart 2718417985🌿   在 群1005680380 说了 7月
 takepart 3524805398是呐呐哦   在 群976813092 说了 五月
 takepart 1184732187人类低质量Demo   在 群954475045 说了 八月
 takepart 2718417985🌿   在 群1005680380 说了 8月
 takepart 317803349李老father   在 群863714537 说了 ！
 takepart 635691684塞西莉亚   在 群954475045 说了 [CQ:image,file=edf107d62c015f58346a2cf25b6219a3.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 5月
 takepart 3524805398是呐呐哦   在 群976813092 说了 四月
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=ff89322decf95fec1ba0ff0dfe4092ed.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:image,file=5c2cef7fa95e2696722936c85c26b662.image]
 takepart 2718417985🌿   在 群1005680380 说了 九月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 11月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 12月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 11
 takepart 635691684风   在 群976813092 说了 [CQ:image,file=5c2cef7fa95e2696722936c85c26b662.image]
 takepart 2718417985🌿   在 群1005680380 说了 八月
 takepart 3524805398是呐呐哦   在 群976813092 说了 三月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 12
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 1
 takepart 2718417985🌿   在 群1005680380 说了 五月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 2
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 3
 takepart 2937954408‮～喵‭   在 群954475045 说了 八月
 takepart 3117274565楠七   在 群976813092 说了 [CQ:image,file=c0bfa192e5c78f4edbb551a24e85a84f.image]
 takepart 3524805398是呐呐哦   在 群976813092 说了 二月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 4
 takepart 2718417985🌿   在 群1005680380 说了 四月
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 5
 takepart 635691684小小贝贝   在 群952792192 说了 七月
 takepart 2718417985🌿   在 群1005680380 说了 三月
 takepart 3117274565楠七   在 群976813092 说了 现在就开始了吗
 takepart 3524805398是呐呐哦   在 群976813092 说了 一月
 takepart 2718417985🌿   在 群1005680380 说了 二月
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:image,file=043525057abf0d1514eb8913ca22fb75.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 一月
****在952792192发送queshi
 takepart 635691684小小贝贝   在 群952792192 说了 六月
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
****在976813092发送queshi
 takepart 3524805398是呐呐哦   在 群976813092 说了 六月
 takepart 635691684小小贝贝   在 群952792192 说了 。
 takepart 2718417985🌿   在 群1005680380 说了 靠
 takepart 2937954408‮～喵‭   在 群954475045 说了 十月
 takepart 3524805398是呐呐哦   在 群976813092 说了 az
****在954475045发送1分钟到了，本次答案为：六月
第1名为李老father获得5分
第2名为小小贝贝获得4分
第3名为是呐呐哦获得3分
****在952792192发送1分钟到了，本次答案为：六月
第1名为李老father获得5分
第2名为小小贝贝获得4分
第3名为是呐呐哦获得3分
****在976813092发送1分钟到了，本次答案为：六月
第1名为李老father获得5分
第2名为小小贝贝获得4分
第3名为是呐呐哦获得3分
****在1005680380发送1分钟到了，本次答案为：六月
第1名为李老father获得5分
第2名为小小贝贝获得4分
第3名为是呐呐哦获得3分
****在863714537发送1分钟到了，本次答案为：六月
第1名为李老father获得5分
第2名为小小贝贝获得4分
第3名为是呐呐哦获得3分
****在954475045发送	Q9、在风铃的记录中，每一点勇气增加多少生命值（用阿拉伯数字回答。）
****在952792192发送	Q9、在风铃的记录中，每一点勇气增加多少生命值（用阿拉伯数字回答。）
****在976813092发送	Q9、在风铃的记录中，每一点勇气增加多少生命值（用阿拉伯数字回答。）
****在1005680380发送	Q9、在风铃的记录中，每一点勇气增加多少生命值（用阿拉伯数字回答。）
****在863714537发送	Q9、在风铃的记录中，每一点勇气增加多少生命值（用阿拉伯数字回答。）
****在954475045发送queshi
 takepart 2703401354我是什么   在 群954475045 说了 114514月
 takepart 1184732187人类低质量Demo   在 群954475045 说了 八月份
 takepart 3524805398是呐呐哦   在 群976813092 说了 可是五月就看见了
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 1
 takepart 317803349李老father   在 群863714537 说了 2
 takepart 317803349李老father   在 群863714537 说了 3
****在976813092发送queshi
 takepart 3524805398是呐呐哦   在 群976813092 说了 1
 takepart 635691684风   在 群976813092 说了 五月看到的是呐呐
 takepart 635691684风   在 群976813092 说了 （
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 1
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=b22ca10a9da810698c1a3b330b6f4a42.image]
 takepart 2429903694计算2014陈煜晗   在 群372502869 说了 我压周大佬
 takepart 2718417985🌿   在 群1005680380 说了 。。。。
 takepart 1184732187人类低质量Demo   在 群954475045 说了 2
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:reply,id=804102052][CQ:at,qq=635691684] [CQ:at,qq=635691684] 好哦
 takepart 3524805398是呐呐哦   在 群976813092 说了 [CQ:image,file=c2a4205a30ece41609361dd39125bff4.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？？？？
 takepart 2718417985🌿   在 群1005680380 说了 5
 takepart 315310152计算19曾炳辉   在 群372502869 说了 我压周大佬
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 我人麻了
****在954475045发送queshi
 takepart 635691684塞西莉亚   在 群954475045 说了 [CQ:image,file=0429d27f65d371fbc945bdd905424d6b.image]
 takepart 635691684塞西莉亚   在 群954475045 说了 queshi
****在976813092发送queshi
 takepart 3117274565楠七   在 群976813092 说了 [CQ:image,file=c2a4205a30ece41609361dd39125bff4.image]
 takepart 1184732187人类低质量Demo   在 群954475045 说了 [CQ:reply,id=454248552][CQ:at,qq=1662403060] 哈啊？
 takepart 635691684塞西莉亚   在 群954475045 说了 这是不是bug了。。
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 60
****在954475045发送1分钟到了，本次答案为：1
第1名为我是什么获得5分
第2名为李老father获得4分
第3名为是呐呐哦获得3分
****在952792192发送1分钟到了，本次答案为：1
第1名为我是什么获得5分
第2名为李老father获得4分
第3名为是呐呐哦获得3分
****在976813092发送1分钟到了，本次答案为：1
第1名为我是什么获得5分
第2名为李老father获得4分
第3名为是呐呐哦获得3分
****在1005680380发送1分钟到了，本次答案为：1
第1名为我是什么获得5分
第2名为李老father获得4分
第3名为是呐呐哦获得3分
****在863714537发送1分钟到了，本次答案为：1
第1名为我是什么获得5分
第2名为李老father获得4分
第3名为是呐呐哦获得3分
****在954475045发送	Q10、“听党指挥”下一句是什么？（4个字）
****在952792192发送	Q10、“听党指挥”下一句是什么？（4个字）
****在976813092发送	Q10、“听党指挥”下一句是什么？（4个字）
****在1005680380发送	Q10、“听党指挥”下一句是什么？（4个字）
****在863714537发送	Q10、“听党指挥”下一句是什么？（4个字）
 takepart 3117274565楠七   在 群976813092 说了 奋笔疾书写作业
